?subject	?name	?year	?band	?gender
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alice-Deejay>	"Alice DJ"	1998	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tone-Loc>	"Tone-Lōc"	1987	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cat-Power>	"Cat Power"	1992	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Son-Lux>	"Son Lux"	2008	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Friends-(Flume-song)>	"Reo Cragun"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Rockabye-(song)>	"Autograf"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Living-End>	"The Living End"	1994	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Railroad-Earth>	"Railroad Earth"	2001	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Gashi-(rapper)>	"GASHI"	2014	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ten-Years-After>	"Ten Years After"	1966	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/DMX-(rapper)>	"DMX"	1991	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Saosin>	"Saosin"	2003	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Fugees>	"Fugees"	1992	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Moon-Taxi>	"Moon Taxi"	2006	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Joe-Walsh-discography>	"Joe Walsh"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Shy-Glizzy>	"Shy Glizzy"	2010	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/PNL-(rap-duo)>	"Pnl"	2014	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/J.-Cole>	"J. Cole"	2007	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Timbaland>	"Timbaland"	1990	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Living-Legends-(group)>	"Living Legends"	1996	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Janes-Addiction>	"Jane's Addiction"	1985	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Joep-Beving>	"Joep Beving"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Rusted-Root>	"Rusted Root"	1990	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Beastie-Boys>	"Beastie Boys"	1978	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Murda-Beatz>	"Murda Beatz"	2011	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Clipping-(band)>	"clipping."	2009	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kate-Miller-Heidke>	"Kate Miller-Heidke"	2000	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Human-League>	"The Human League"	1977	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Memphis-Bleek>	"Memphis Bleek"	1996	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Album-Leaf>	"The Album Leaf"	1998	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Brazilian-Girls>	"Brazilian Girls"	2003	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Norman-Greenbaum>	"Norman Greenbaum"	1966	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Michael-Kiwanuka>	"Michael Kiwanuka"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Danger-Mouse-(musician)>	"Danger Mouse"	1998	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Django-Django>	"Django Django"	2009	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pedro-the-Lion>	"Pedro the Lion"	1995	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Juraj-Kucka>	"Kucka"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Njomza>	"Njomza"	2007	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Remmy-Valenzuela>	"Remmy Valenzuela"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bonnie-Raitt>	"Bonnie Raitt"	1971	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/José-Feliciano>	"Jose Feliciano"	1962	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Hurray-for-the-Riff-Raff>	"Hurray for the Riff Raff"	2007	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Carnage-(DJ)>	"Carnage"	2008	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Underoath>	"Underoath"	1997	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Melle-Mel>	"Grandmaster Melle Mel"	1978	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Jaheim>	"Jaheim"	1996	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Nightwish>	"Nightwish"	1996	true	
