?name	?classifciation	?year	?winner	?artist_uri	?artist_name
"American_Music_Award"	"Favorite_Soul/R&B_Album"	2007	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Justin-Timberlake>	"Justin Timberlake"
"American_Music_Award"	"Favorite_Soul/R&B_Female_Artist"	1980	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Gloria-Gaynor>	"Gloria Gaynor"
"Grammy_Award"	"Album_of_the_Year"	2011	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lady-Gaga>	"Lady Gaga"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	1993	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/En-Vogue>	"En Vogue"
"Billboard_Music_Award"	"Top_Artist"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Travis-Scott>	"Travis"
"Billboard_Music_Award"	"Top_Artist"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Travis-Scott>	"Travis Scott"
"American_Music_Award"	"Favorite_Country_Album"	2018	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kane-Brown>	"Kane Brown"
"Billboard_Music_Award"	"Top_Hot_100_Song"	2013	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Wiz-Khalifa>	"Wiz Khalifa"
"American_Music_Award"	"Favorite_Rap/Hip"	2007	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/T.I.>	"T.I."
"American_Music_Award"	"Favorite_Pop/Rock_Album"	1984	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Def-Leppard>	"Def Leppard"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	2018	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Khalid-(singer)>	"Brasstracks"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	2018	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Khalid-(singer)>	"Khalid"
"Grammy_Award"	"Album_of_the_Year"	1989	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Steve-Winwood>	"Steve Winwood"
"Grammy_Award"	"Album_of_the_Year"	1978	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Eagles-(band)>	"Eagles"
"Billboard_Music_Award"	"Top_Billboard_200_Album"	2017	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Rihanna>	"Rihanna"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	2017	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bruno-Mars>	"Bruno Mars"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	2011	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lady-Gaga>	"Lady Gaga"
"American_Music_Award"	"Favorite_Soul/R&B_Album"	1992	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Boyz-II-Men>	"Boyz II Men"
